term,step,estimate,lambda,dev.ratio
language,51,-0.03734527887027535,0.001945633111171576,0.06819590618123172
intelligence,51,-0.06432222026389461,0.001945633111171576,0.06819590618123172
machine,51,-0.06765648517903906,0.001945633111171576,0.06819590618123172
based,51,-0.06859589808939259,0.001945633111171576,0.06819590618123172
company,51,-0.07163471995223922,0.001945633111171576,0.06819590618123172
ai,51,-0.0754576934650187,0.001945633111171576,0.06819590618123172
voice,51,-0.08467066834897634,0.001945633111171576,0.06819590618123172
change,51,-0.08492711941788984,0.001945633111171576,0.06819590618123172
human,51,-0.09160245016422983,0.001945633111171576,0.06819590618123172
global,51,-0.11956223589578628,0.001945633111171576,0.06819590618123172
applications,51,-0.12280582888963677,0.001945633111171576,0.06819590618123172
research,51,-0.13001699890471344,0.001945633111171576,0.06819590618123172
innovation,51,-0.1313989996135389,0.001945633111171576,0.06819590618123172
improve,51,-0.13408228737262046,0.001945633111171576,0.06819590618123172
changing,51,-0.13686338345920868,0.001945633111171576,0.06819590618123172
facebook,51,-0.14753345574130566,0.001945633111171576,0.06819590618123172
development,51,-0.1577211684752516,0.001945633111171576,0.06819590618123172
cloud,51,-0.16048984243992298,0.001945633111171576,0.06819590618123172
power,51,-0.16870083535818137,0.001945633111171576,0.06819590618123172
software,51,-0.17766881308512306,0.001945633111171576,0.06819590618123172
market,51,-0.18107724821692464,0.001945633111171576,0.06819590618123172
insights,51,-0.18489258329203648,0.001945633111171576,0.06819590618123172
news,51,-0.19048364774135668,0.001945633111171576,0.06819590618123172
data,51,-0.1935161643037397,0.001945633111171576,0.06819590618123172
mobile,51,-0.20806037973545424,0.001945633111171576,0.06819590618123172
healthcare,51,-0.21005334644121412,0.001945633111171576,0.06819590618123172
robots,51,-0.2129824566170414,0.001945633111171576,0.06819590618123172
automation,51,-0.2136086616663621,0.001945633111171576,0.06819590618123172
social,51,-0.2174326663816668,0.001945633111171576,0.06819590618123172
enterprise,51,-0.2281560492272324,0.001945633111171576,0.06819590618123172
customer,51,-0.23466135268367197,0.001945633111171576,0.06819590618123172
experience,51,-0.24889671968503116,0.001945633111171576,0.06819590618123172
technologies,51,-0.2655166057775121,0.001945633111171576,0.06819590618123172
reality,51,-0.2838392906841114,0.001945633111171576,0.06819590618123172
revolution,51,-0.2888817417416336,0.001945633111171576,0.06819590618123172
health,51,-0.28973070102154896,0.001945633111171576,0.06819590618123172
trends,51,-0.29027490374546194,0.001945633111171576,0.06819590618123172
a.i,51,-0.2993003645833423,0.001945633111171576,0.06819590618123172
technology,51,-0.3044779762652985,0.001945633111171576,0.06819590618123172
impact,51,-0.32413972391840806,0.001945633111171576,0.06819590618123172
strategy,51,-0.3300740934594542,0.001945633111171576,0.06819590618123172
weekly,51,-0.3356822144089886,0.001945633111171576,0.06819590618123172
industry,51,-0.35233015698948067,0.001945633111171576,0.06819590618123172
robot,51,-0.35251011450816466,0.001945633111171576,0.06819590618123172
artificial,51,-0.35800432447087505,0.001945633111171576,0.06819590618123172
internet,51,-0.36668931628809653,0.001945633111171576,0.06819590618123172
tools,51,-0.39534497072272856,0.001945633111171576,0.06819590618123172
service,51,-0.4090390268982162,0.001945633111171576,0.06819590618123172
information,51,-0.4318337269018426,0.001945633111171576,0.06819590618123172
analytics,51,-0.4414650125199055,0.001945633111171576,0.06819590618123172
digital,51,-0.4553736440105173,0.001945633111171576,0.06819590618123172
process,51,-0.4588951025216557,0.001945633111171576,0.06819590618123172
tech,51,-0.4850857704141061,0.001945633111171576,0.06819590618123172
week,51,-0.49366594967288285,0.001945633111171576,0.06819590618123172
marketing,51,-0.4986839382834683,0.001945633111171576,0.06819590618123172
services,51,-0.5123338483371315,0.001945633111171576,0.06819590618123172
gdpr,51,-0.5539612553630023,0.001945633111171576,0.06819590618123172
online,51,-0.5562310484024442,0.001945633111171576,0.06819590618123172
day,51,-0.5726270612623162,0.001945633111171576,0.06819590618123172
security,51,-0.5816672681857707,0.001945633111171576,0.06819590618123172
business,51,-0.6054177101754344,0.001945633111171576,0.06819590618123172
management,51,-0.627854132993844,0.001945633111171576,0.06819590618123172
iot,51,-0.642980403900393,0.001945633111171576,0.06819590618123172
training,51,-0.7489514417927892,0.001945633111171576,0.06819590618123172
hadoop,51,-1.0020557321176191,0.001945633111171576,0.06819590618123172
read,51,-1.2085701213858655,0.001945633111171576,0.06819590618123172
